cycle;name;location.x;location.y;location.z;name;my_district;indicator;threshold;status_on;should_be_activated;threshold_reached;timer_activated;has_activated_levers;timer_duration;lever_type;lever_name;box_title;progression_bar;help_lever_msg;activation_label_L1;activation_label_L2;player_msg;row_index;col_index;associated_actions;activation_queue;activated_levers
768;Create_Dike_Lever0;12.500000000000004;19.727272727272734;0.0;Create_Dike_Lever0;District(0);0.0;0.2;true;false;false;false;false;240000;BUILDER;Construit Digue;Construit Digue (0);0 m \/ 0.2 * 7302 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;0;[];[];[]
768;Raise_Dike_Lever0;12.5;24.227272727272734;0.0;Raise_Dike_Lever0;District(0);0.0;0.2;true;false;false;false;false;240000;BUILDER;Rehausse Digue;Rehausse Digue (0);0 m \/ 0.2 * 7302 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;0;[];[];[]
768;Repair_Dike_Lever0;12.5;28.81818181818182;0.0;Repair_Dike_Lever0;District(0);0.0;0.2;true;false;false;false;false;240000;BUILDER;Renove Digue;Renove Digue (0);0 m \/ 0.2 * 7302 m at t0;Prélevement de la commune à hauteur de 25% du coût de l\'action;;;Les coûts dans les BTP augmentent considérablement;3;0;[];[];[]
768;AU_or_Ui_in_Coast_Border_Area_Lever0;12.5;33.31818181818182;0.0;AU_or_Ui_in_Coast_Border_Area_Lever0;District(0);0;2.0;true;false;false;false;false;240000;BUILDER;Const\/Densi non adapt en ZL;Const\/Densi non adapt en ZL (0);0 actions \/ 2 max;Retard de 2 tours;;;Un renforcement de la loi Littoral retarde vos projets;3;0;[];[];[]
768;AU_or_Ui_in_Risk_Area_Lever0;12.5;37.909090909090914;0.0;AU_or_Ui_in_Risk_Area_Lever0;District(0);0;1.0;true;false;false;false;false;240000;BUILDER;Const\/Densi en ZI;Const\/Densi en ZI (0);0 actions \/ 1 max;Prélevement de la commune à hauteur de 50% du coût de l\'action;;;Les coûts dans les BTP augmentent considérablement;4;0;[];[];[]
768;Ganivelle_Lever0;12.5;42.409090909090914;0.0;Ganivelle_Lever0;District(0);1;0.1;true;true;true;true;false;240000;SOFT_DEFENSE;Construit Ganivelle;Construit Ganivelle (3);1731 m \/ 0.1 * 1166 m dunes;Versement à la commune à hauteur de -25% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;4;0;[Player_Action(3),Player_Action(16),Player_Action(17)];[Activated_Lever(4)];[]
768;Us_out_Coast_Border_or_Risk_Area_Lever0;12.5;47.00000000000001;0.0;Us_out_Coast_Border_or_Risk_Area_Lever0;District(0);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap hors ZL et ZI;Hab Adap hors ZL et ZI (0);0 actions \/ 2 max;Versement à la commune à hauteur de -25% du coût de ganivelle;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;5;0;[];[];[]
768;Us_in_Coast_Border_Area_Lever0;12.5;51.50000000000001;0.0;Us_in_Coast_Border_Area_Lever0;District(0);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap en ZL;Hab Adap en ZL (0);0 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'adaptation;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;5;0;[];[];[]
768;Us_in_Risk_Area_Lever0;12.5;56.09090909090909;0.0;Us_in_Risk_Area_Lever0;District(0);0;2.0;true;false;false;false;false;240000;SOFT_DEFENSE;Hab Adap en ZI;Hab Adap en ZI (0);0 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'adaptation;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;6;0;[];[];[]
768;Inland_Dike_Lever0;12.5;60.59090909090909;0.0;Inland_Dike_Lever0;District(0);0.0;0.01;true;false;false;false;false;240000;SOFT_DEFENSE;Const Retrodigue;Const Retrodigue (0);0 m \/ 0.01 * 7302 m dikes at t0;Avance de 1 Tour;;;Des aides existent de la part du gouvernement pour renforcer la gestion intégrée des risques;6;0;[];[];[]
768;No_Dike_Creation_Lever0;12.5;65.18181818181819;0.0;No_Dike_Creation_Lever0;District(0);0.0;2.0;true;true;true;true;false;240000;WITHDRAWAL;Pas Const Digue;Pas Const Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne contruit pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;0;[];[Activated_Lever(5)];[]
768;No_Dike_Raise_Lever0;12.5;69.68181818181819;0.0;No_Dike_Raise_Lever0;District(0);0.0;2.0;true;true;true;true;false;240000;WITHDRAWAL;Pas Rehausse Digue;Pas Rehausse Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne réhausse pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;0;[];[Activated_Lever(7)];[]
768;No_Dike_Repair_Lever0;12.5;74.27272727272728;0.0;No_Dike_Repair_Lever0;District(0);0.0;2.0;true;true;true;true;false;240000;WITHDRAWAL;Pas Renove Digue;Pas Renove Digue (0);3 tours \/ 2 max;Durant 2.0 tours consécutifs, le joueur ne rénove pas de digue. Versement à la commune à hauteur de -50% du coût de ganivelle\/m;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;8;0;[];[Activated_Lever(8)];[]
768;A_to_N_in_Coast_Border_or_Risk_Area_Lever0;12.5;78.77272727272728;0.0;A_to_N_in_Coast_Border_or_Risk_Area_Lever0;District(0);0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Agr vers Nat ds ZL\/ZI;Agr vers Nat ds ZL\/ZI (0);0 actions \/ 2 max;Versement à la commune à hauteur de -50% du coût d\'une densification préalablement réalisée hors ZL&ZI;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;8;0;[];[];[]
768;Densification_out_Coast_Border_and_Risk_Area_Lever0;12.499999999999996;83.36363636363637;0.0;Densification_out_Coast_Border_and_Risk_Area_Lever0;District(0);0;2.0;true;false;false;false;false;240000;WITHDRAWAL;Dens Hab hors ZI&ZL;Dens Hab hors ZI&ZL (0);0 actions \/ 2 max;Versement à la commune à hauteur de -25% du coût de densification;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;9;0;[];[];[]
768;Expropriation_Lever0;12.5;87.86363636363637;0.0;Expropriation_Lever0;District(0);0;1.0;true;false;false;false;false;240000;WITHDRAWAL;Exproprie;Exproprie (0);0 expropriation \/ 1 max;Versement à la commune à hauteur de -25% du coût d\'expropriation;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;9;0;[];[];[]
