cycle;name;location.x;location.y;location.z;name;p_action;activation_time;applied;id;district_code;lever_name;lever_explanation;p_action_id;added_delay;added_cost;round_creation;round_application
711;Activated_Lever0;88.39822266856528;38.679305040243726;0.0;Activated_Lever0;Player_Action(1);1562707888261.0;true;1;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_2;0;75;2;2
711;Activated_Lever1;23.61944432677309;40.70195452049571;0.0;Activated_Lever1;Player_Action(2);1562707888261.0;true;2;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_3;0;75;2;2
711;Activated_Lever2;83.58222445376036;79.71713865382509;0.0;Activated_Lever2;Player_Action(3);1562707888261.0;true;3;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_4;0;75;2;2
711;Activated_Lever3;21.31767615545813;25.575022739477728;0.0;Activated_Lever3;Player_Action(4);1562707888261.0;true;4;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_5;0;75;2;2
711;Activated_Lever4;58.63514650562897;90.62979045117673;0.0;Activated_Lever4;Player_Action(5);1562707888261.0;true;5;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_6;0;75;2;2
711;Activated_Lever5;72.04086201017195;86.12617070752418;0.0;Activated_Lever5;Player_Action(6);1562707888261.0;true;6;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_7;0;75;2;2
711;Activated_Lever6;14.863916246031017;59.54985157851207;0.0;Activated_Lever6;Player_Action(7);1562707888261.0;true;7;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_8;0;75;2;2
711;Activated_Lever7;48.8462799464447;62.306500258576904;0.0;Activated_Lever7;Player_Action(15);1562707897308.0;true;8;17385;Exproprie;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;17385_5;0;-374;2;2
711;Activated_Lever8;70.53206962166063;50.20986849323019;0.0;Activated_Lever8;Player_Action(16);1562707893117.0;true;9;17411;Construit Ganivelle;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;17411_10;0;-70;2;2
711;Activated_Lever9;29.350398732665695;82.76854608874214;0.0;Activated_Lever9;Player_Action(14);1562707985389.0;true;10;17411;Pas Const Digue;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;17411_9;0;-150;4;0
711;Activated_Lever10;22.346680534164975;91.2007001299885;0.0;Activated_Lever10;Player_Action(14);1562707989585.0;true;11;17411;Pas Rehausse Digue;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;17411_9;0;-150;4;0
711;Activated_Lever11;69.19517183745916;28.55297414476596;0.0;Activated_Lever11;Player_Action(14);1562707992604.0;true;12;17411;Pas Renove Digue;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;17411_9;0;-150;4;0
711;Activated_Lever12;46.78778425990478;11.909260327916071;0.0;Activated_Lever12;Player_Action(23);1562708001164.0;true;13;17385;Exproprie;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;17385_6;0;-1220;4;4
711;Activated_Lever13;2.7860777690950855;57.18906814986514;0.0;Activated_Lever13;Player_Action(25);1562708035549.0;true;14;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_17;0;75;4;5
711;Activated_Lever14;96.58154323840037;62.9016622887926;0.0;Activated_Lever14;Player_Action(26);1562708035549.0;true;15;17411;Const\/Densi en ZI;Les coûts dans les BTP augmentent considérablement;17411_18;0;75;4;5
711;Activated_Lever15;85.00646552165662;80.47268037611501;0.0;Activated_Lever15;Player_Action(27);1562708307958.0;false;16;17385;Exproprie;;17385_7;0;0;5;0
711;Activated_Lever16;17.495873974530085;95.65704263304735;0.0;Activated_Lever16;Player_Action(33);1562708322972.0;false;17;17385;Exproprie;;17385_8;0;0;5;0
711;Activated_Lever17;10.221631205133107;44.41483874638046;0.0;Activated_Lever17;Player_Action(35);1562708358894.0;false;18;17411;Const\/Densi en ZI;;17411_19;0;0;5;0
711;Activated_Lever18;1.0092136606325242;35.23162003341612;0.0;Activated_Lever18;Player_Action(36);1562708358910.0;false;19;17411;Const\/Densi en ZI;;17411_20;0;0;5;0
711;Activated_Lever19;71.96232348941464;30.648604795194657;0.0;Activated_Lever19;Player_Action(37);1562708358926.0;false;20;17411;Const\/Densi en ZI;;17411_21;0;0;5;0
711;Activated_Lever20;3.8747293701850594;16.15585828944579;0.0;Activated_Lever20;Player_Action(38);1562708358926.0;false;21;17411;Const\/Densi en ZI;;17411_22;0;0;5;0
711;Activated_Lever21;20.009540029399187;61.893676310711065;0.0;Activated_Lever21;Player_Action(41);1562708374115.0;false;22;17093;Dens Hab hors ZI&ZL;;17093_24;0;0;5;0
711;Activated_Lever22;68.64939198599652;2.6207472500736073;0.0;Activated_Lever22;Player_Action(42);1562708374124.0;false;23;17093;Dens Hab hors ZI&ZL;;17093_25;0;0;5;0
711;Activated_Lever23;71.42854253761938;27.890774563437127;0.0;Activated_Lever23;Player_Action(43);1562708420052.0;false;24;17411;Hab Adap en ZL;;17411_23;0;0;5;0
711;Activated_Lever24;72.54686733416005;33.926444026909365;0.0;Activated_Lever24;Player_Action(43);1562708420053.0;false;25;17411;Hab Adap en ZI;;17411_23;0;0;5;0
711;Activated_Lever25;85.1064272056837;0.9730916208720686;0.0;Activated_Lever25;Player_Action(44);1562708420063.0;false;26;17411;Hab Adap en ZL;;17411_24;0;0;5;0
711;Activated_Lever26;1.5411994907715942;12.376239099007535;0.0;Activated_Lever26;Player_Action(44);1562708420063.0;false;27;17411;Hab Adap en ZI;;17411_24;0;0;5;0
